country_id,tournament_id,tournament_name,tournament_url,tournament_stage_id,tournament_template_id,country_name
212,rNjeLVTh,Kosovar Cup,/football/kosovo/kosovar-cup/,8G1LKgvB,MimrlIMs,Kosovo
212,M781LWCS,Super Cup,/football/kosovo/super-cup/,MHYRQkx9,EiccD9m3,Kosovo
115,xdtRi2UN,Liechtenstein Cup,/football/liechtenstein/liechtenstein-cup/,bPzXmvHb,WvY0GPa9,Liechtenstein
117,2PKKNn9F,BGL Ligue,/football/luxembourg/bgl-ligue/,Ymj33sDD,KnNpcyal,Luxembourg
117,vesyMQwS,Luxembourg Cup,/football/luxembourg/luxembourg-cup/,MTnULOSs,2RfYcHqr,Luxembourg
128,xf3GsU0B,Liga MX,/football/mexico/liga-mx/,rLQEVQTq,bm2Vlsfl,Mexico
128,b9iPu8VN,Liga de Expansion MX,/football/mexico/liga-de-expansion-mx/,0QWDr4Dk,SlhZpIaP,Mexico
128,8nwHyngo,Liga Premier Serie A,/football/mexico/liga-premier-serie-a/,M3igGOJE,UiQWK8Vr,Mexico
128,UuW9qbCi,Liga Premier Serie B,/football/mexico/liga-premier-serie-b/,r7kl7BnI,CGFyKSpk,Mexico
128,CxeQswh1,Copa Mexico,/football/mexico/copa-mexico/,KhDA8F1j,2HXjr1nO,Mexico
128,42SIX9sl,Copa por Mexico,/football/mexico/copa-por-mexico/,65Hi4ZMS,QgdMSBzt,Mexico
128,lfEYZjMM,Campeón de Campeones,/football/mexico/campeon-de-campeones/,tIVqjuIl,UiPrARXq,Mexico
128,tdmdwBmd,Liga MX U21,/football/mexico/liga-mx-u21/,pCNhNrfD,GdGmZTV6,Mexico
128,hGckKKc2,Kings League - Mexico,/football/mexico/kings-league-mexico/,na883vXO,Oj3VXC3j,Mexico
128,MiM9tOO0,Liga MX Women,/football/mexico/liga-mx-women/,SWWf4twg,S8Dr0wAf,Mexico
133,CYnBtRH8,Prva Crnogorska Liga,/football/montenegro/prva-crnogorska-liga/,hbjLULCO,W00wmLO0,Montenegro
133,neytt5nL,Druga Liga,/football/montenegro/druga-liga/,0UvvkPct,043sUkrq,Montenegro
133,pjJ6ZrAr,Montenegrin Cup,/football/montenegro/montenegrin-cup/,8frnm3Sh,86GBzS0c,Montenegro
139,dSXX7eTk,Eredivisie,/football/netherlands/eredivisie/,dWKtjvdd,Or1bBrWD,Netherlands
139,UTJfFoH8,Eerste Divisie,/football/netherlands/eerste-divisie/,lfs1AamS,6Nl8nagD,Netherlands
139,xfN2DPoL,Tweede Divisie,/football/netherlands/tweede-divisie/,63uNJxQr,b7mfunR9,Netherlands
139,QqNs839r,Derde Divisie,/football/netherlands/derde-divisie/,KtEVFfP7,Cz9FVnQe,Netherlands
139,pK88gL87,KNVB Beker,/football/netherlands/knvb-beker/,SdrHRX8D,4fGZN2oK,Netherlands
139,40Ty7fZL,Johan Cruyff Shield,/football/netherlands/johan-cruyff-shield/,hpJN83hc,KluSTr9s,Netherlands
139,ERWd0Gpm,Divisie 1 U21,/football/netherlands/divisie-1-u21/,8rYaV6F5,hUqUyPjg,Netherlands
139,IoZVIgwo,Divisie 1 U19,/football/netherlands/divisie-1-u19/,naEHzyIM,Iq5Iwdi9,Netherlands
139,AJF8eYqC,Eredivisie Women,/football/netherlands/eredivisie-women/,xnlbrpaB,ADZjR3us,Netherlands
139,dvExeCEO,KNVB Beker Women,/football/netherlands/knvb-beker-women/,pCi6tOTN,KSE1XOBs,Netherlands
139,OlpSbWt2,Eredivisie Cup Women,/football/netherlands/eredivisie-cup-women/,8pVHMMMd,8YgGm6HU,Netherlands
139,Cz63DgUh,Super Cup Women,/football/netherlands/super-cup-women/,08qXb5qh,zeCZUYUB,Netherlands
